acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,label
0.885,0.366,352000,0.139,0.913,7,0.0725,10.022,1,0.039,139.478,4,0.31,1
0.124,0.863,236293,0.576,0,5,0.143,24.313,0,0.239,132.054,4,0.832,0
0.184,0.631,219160,0.699,0,9,0.108,22.375,0,0.0284,128.433,4,0.707,1
0.0108,0.8,201840,0.894,0.437,6,0.0285,22.654,0,0.04,138.48,4,0.967,0
0.0044,0.788,228000,0.673,4.94E-06,9,0.0755,20.768,1,0.199,99.979,4,0.478,0
0.0385,0.297,170107,0.613,3.98E-05,9,0.0734,20.935,1,0.0931,170.962,4,0.338,1
0.0625,0.302,154231,0.327,0.000245,9,0.162,17.807,1,0.0556,167.291,4,0.233,0
0.000969,0.765,221797,0.857,0.67,6,0.131,26.189,0,0.0495,127.041,3,0.525,1
0.992,0.525,226293,0.0633,0.905,9,0.105,6.928,1,0.0497,71.855,4,0.297,1
0.477,0.731,183987,0.897,0.000584,3,0.0804,25.038,1,0.03,119.33,4,0.957,0
0.455,0.764,224000,0.262,0.0249,1,0.104,12.926,0,0.446,80.047,4,0.29,0
0.00784,0.791,173987,0.619,0.00423,1,0.351,24.114,1,0.0532,103.989,4,0.371,0
0.311,0.77,279507,0.505,7.40E-05,1,0.0777,22.655,1,0.0828,171.798,4,0.757,0
0.698,0.299,221240,0.38,1.83E-06,8,0.0883,21.261,1,0.0299,88.377,4,0.107,1
0.0435,0.652,220571,0.75,0,10,0.188,24.411,1,0.0339,94.515,4,0.465,1
0.956,0.582,232987,0.14,0.00144,10,0.135,17.145,1,0.0364,128.338,4,0.223,1
0.0245,0.578,240867,0.875,0,1,0.167,26.532,1,0.135,169.998,4,0.607,0
0.217,0.666,277547,0.721,0,9,0.0982,24.152,0,0.0407,120.081,4,0.492,1
0.722,0.401,547880,0.175,9.58E-06,7,0.325,13.301,1,0.0349,120.02,4,0.199,1
0.0511,0.717,235477,0.347,2.43E-06,11,0.087,19.735,0,0.0636,84.987,4,0.0589,0
0.00338,0.892,213960,0.962,0.399,0,0.103,25.397,1,0.204,126.97,4,0.231,0
0.36,0.524,115773,0.6,0.013,0,0.341,23.233,1,0.0352,112.682,4,0.722,1
0.357,0.656,291867,0.565,0.000192,9,0.0629,21.278,1,0.0301,77.049,4,0.615,1
0.916,0.6,100867,0.0883,0.926,0,0.155,3.231,1,0.0548,124.042,4,0.568,1
0.0838,0.911,172954,0.6,0.000113,6,0.338,21.951,0,0.289,96.01,4,0.249,0
0.603,0.541,285413,0.377,0,10,0.196,18.136,1,0.0252,104.279,4,0.449,1
0.00484,0.419,165013,0.615,7.03E-06,2,0.13,21.44,1,0.197,144.937,4,0.38,0
0.722,0.378,334653,0.481,0.000185,2,0.665,20.898,1,0.132,124.462,4,0.338,1
0.0226,0.596,305173,0.8,0,11,0.303,23.086,0,0.319,79.934,4,0.5,0
0.541,0.458,294720,0.794,0.00105,6,0.101,23.249,1,0.0376,126.951,4,0.505,1
0.0507,0.747,203853,0.745,1.90E-06,9,0.151,26.665,1,0.146,180.123,4,0.805,0
0.051,0.886,182491,0.629,7.66E-06,1,0.121,25.596,0,0.306,158.002,4,0.487,0
0.932,0.157,198531,0.195,0.93,10,0.122,11.513,1,0.0438,177.964,4,0.169,1
0.921,0.513,268587,0.45,0.86,9,0.313,18.781,0,0.0296,142.399,4,0.261,1
0.456,0.646,205386,0.707,0,7,0.329,22.612,1,0.0347,123.983,4,0.801,0
0.823,0.576,168667,0.108,0,5,0.135,17.565,1,0.0675,89.201,4,0.6,0
0.263,0.579,86813,0.141,0,0,0.296,20.712,1,0.105,128.824,4,0.737,0
0.457,0.488,141947,0.487,0,2,0.519,21.404,1,0.0432,77.302,4,0.416,1
0.853,0.586,221773,0.213,0,0,0.177,18.594,1,0.0284,82.921,4,0.285,1
0.357,0.755,174827,0.876,5.17E-06,0,0.22,21.133,1,0.0362,102.762,4,0.954,1
0.0126,0.778,193467,0.615,1.44E-06,7,0.108,23.471,1,0.0384,120.045,4,0.648,1
0.908,0.606,180040,0.296,0,4,0.255,21.644,1,0.0502,115.085,3,0.668,1
0.938,0.407,387827,0.356,0.882,8,0.147,13.465,1,0.0406,82.209,4,0.311,1
